59,A2B6WQG0A9CKXQ,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",I want that Superhero Movie I think it was released in 2017
70,A31X9CV1UWZV8Z,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",I'm looking for superhero movies from the 2010s
83,AFU00NU09CFXE,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",what movies are good that include just superheroes from 2010 up to today
97,A18V2X9VHAVWE7,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",and I do believe he's a superhero
106,A3UQM89QJ1V6M4,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",find a movie that's in 2010 and is a superhero movie
119,AR8O1107OAW4V,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",find movie set in the 2010s with a superhero in it
131,ACIZKR30ALBE5,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",Alexa can you please find 2010's superhero movies
142,A3IYDY7TO808Z3,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",can you find me recent superhero movies
155,A2KI7W45F6HRVY,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",I'm looking for a superhero movie that was made in the 2010s
168,A23FMTVKQEYCMW,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",I would like to see a Superhero Movie from 2010
177,A2E8RRV64NGTW4,"[&#39;2010s&#39;, &#39;➕&#39;, &#39;Superhero&#39;]",I want to watch superhero movies that were released in 2010 or later
65,A2B6WQG0A9CKXQ,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",what are the five best movies from the 2000
74,A31X9CV1UWZV8Z,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",what are the best movies
86,AFU00NU09CFXE,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",what are the best movies from 2000 to today
109,A3UQM89QJ1V6M4,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",that's the best of before 2000
100,A18V2X9VHAVWE7,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",60 mm
122,AR8O1107OAW4V,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",I want to see the best movie in the year 2000 or later
136,ACIZKR30ALBE5,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",Alexa can you please find the best films from point Alexa can you find the best films from 2000 until today
146,A3IYDY7TO808Z3,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",can you find me the best movies for the last 10 years
158,A2KI7W45F6HRVY,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",what is the best movie that was made after 2000
174,A23FMTVKQEYCMW,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",what is the best movies from the year 2000
182,A2E8RRV64NGTW4,"[&#39;Best&#39;, &#39;➕&#39;, &#39;&gt;2000&#39;]",I'm looking for the best film of the 2000s and on
54,A2B6WQG0A9CKXQ,[&#39;Brad Pitt&#39;],yeah I'd like that one movie with Brad Pitt
61,A31X9CV1UWZV8Z,[&#39;Brad Pitt&#39;],I'm looking for a movie starring Brad Pitt
78,AFU00NU09CFXE,[&#39;Brad Pitt&#39;],what can you recommend that has Brad Pitt in it
102,A3UQM89QJ1V6M4,[&#39;Brad Pitt&#39;],find movie with Brad Pitt in
93,A18V2X9VHAVWE7,[&#39;Brad Pitt&#39;],Target
115,AR8O1107OAW4V,[&#39;Brad Pitt&#39;],show me films with Brad Pitt
127,ACIZKR30ALBE5,[&#39;Brad Pitt&#39;],Alexa can you find films with Brad Pitt starring in them
135,A3IYDY7TO808Z3,[&#39;Brad Pitt&#39;],can you show me movies that have Brad Pitt in them
151,A2KI7W45F6HRVY,[&#39;Brad Pitt&#39;],I'm looking for a Brad Pitt movie
171,A2E8RRV64NGTW4,[&#39;Brad Pitt&#39;],I want to find a movie starring Brad Pitt
164,A23FMTVKQEYCMW,[&#39;Brad Pitt&#39;],I would like to watch a comedy
53,A2B6WQG0A9CKXQ,[&#39;comedy&#39;],I'd like a comedy movie
58,A31X9CV1UWZV8Z,[&#39;comedy&#39;],I am looking for a comedy
64,A21SIPO89DP66I,[&#39;comedy&#39;],I'm looking to see if there's any new funny movies out hello
91,A18V2X9VHAVWE7,[&#39;comedy&#39;],
92,A18V2X9VHAVWE7,[&#39;comedy&#39;],comedy movies
101,A3UQM89QJ1V6M4,[&#39;comedy&#39;],find a comedy
76,AFU00NU09CFXE,[&#39;comedy&#39;],I'm looking for a comedy I want something that will make me laugh
113,ACSS93E03ZUGX,[&#39;comedy&#39;],I'd like to find a comedy movie to watch
